,Name,Rating,Num_Ratings,Price,Id,Status,AscLoc,BusTypes,Hours,Avg_Close,Avg_Open
292,Pacos taqueria,4.2,1360.0,1.0,ChIJjzGHrydSa4gRFfVOlfdufmM,OPERATIONAL,The Speak Easy,[],"[['09:00', '22:00'], ['09:00', '22:00'], ['09:00', '22:00'], ['09:00', '22:00'], ['09:00', '22:00'], ['09:00', '22:00'], ['09:00', '22:00']]",22.0,9.0
293,The Round Table Bar and Grill,4.6,105.0,1.5714285714285714,ChIJ17sZBtNRa4gRnBdT9VBGT7U,OPERATIONAL,The Speak Easy,['bar'],"[['11:00', '15:00'], ['11:00', '15:00'], ['11:00', '15:00'], ['20:00', '02:00'], ['20:00', '02:00']]",19.4,14.6
294,R&R Extreme Wings,4.4,873.0,1.0,ChIJT6mADydSa4gRgIHg9RIze2M,OPERATIONAL,The Speak Easy,[],"[['11:00', '21:00'], ['11:00', '21:00'], ['11:00', '21:00'], ['11:00', '21:00'], ['11:00', '21:00'], ['12:00', '21:00']]",21.0,11.166666666666666
295,Thai Cafe,4.3,249.0,2.0,ChIJW5_Nla5Ta4gR6bzdCyJv9Ks,OPERATIONAL,The Speak Easy,[],"[['15:00', '21:00'], ['11:00', '21:00'], ['11:00', '21:00'], ['11:00', '21:00'], ['11:00', '21:00'], ['11:00', '21:00']]",21.0,11.666666666666666
296,Shalimar Indian Restaurant,4.1,352.0,2.0,ChIJfQuIva5Ta4gRGB0qiIE6NqI,OPERATIONAL,The Speak Easy,[],"[['11:00', '21:30'], ['11:00', '14:30'], ['17:00', '22:00'], ['11:00', '14:30'], ['17:00', '22:00'], ['11:00', '14:30'], ['17:00', '22:00'], ['11:00', '14:30'], ['17:00', '22:00'], ['11:00', '14:30'], ['17:00', '22:00'], ['11:00', '22:00']]",18.833333333333332,13.5
297,Real Slab Masterz,5.0,1.0,1.5714285714285714,ChIJ2VHS-qVTa4gR0Mu3dz4D96o,OPERATIONAL,The Speak Easy,[],"[['none', 'none'], ['none', 'none'], ['none', 'none'], ['none', 'none'], ['none', 'none'], ['none', 'none'], ['none', 'none']]",20.825205254515602,11.507471264367815
298,Penn Station East Coast Subs,4.0,301.0,2.0,ChIJv8UpIKxTa4gRy1xT1_V8dso,OPERATIONAL,The Speak Easy,[],"[['11:00', '20:00'], ['10:30', '21:00'], ['10:30', '21:00'], ['10:30', '21:00'], ['10:30', '21:00'], ['10:30', '21:00'], ['10:30', '21:00']]",20.857142857142858,10.571428571428571
299,Biscuits,4.4,950.0,1.0,ChIJF5Vjlq5Ta4gR4tdrKWatbCw,OPERATIONAL,The Speak Easy,[],"[['07:00', '15:00'], ['07:00', '21:00'], ['07:00', '21:00'], ['07:00', '21:00'], ['07:00', '21:00'], ['07:00', '21:00'], ['07:00', '21:00']]",20.142857142857142,7.0
300,Salty Cowboy,4.4,659.0,2.0,ChIJmXopXWNVE4gR4HbiZobaL-Y,OPERATIONAL,zWORKS,['bar'],"[['16:00', '21:00'], ['16:00', '22:00'], ['16:00', '22:00'], ['16:00', '22:00'], ['16:00', '22:00'], ['16:00', '22:00']]",21.833333333333332,16.0
301,Noah Grant's Grill House & Oyster Bar,4.6,433.0,3.0,ChIJn1RgvGRVE4gR8pngjq1_GBc,OPERATIONAL,zWORKS,[],"[['16:00', '21:00'], ['16:00', '22:00'], ['16:00', '22:00'], ['16:00', '22:00'], ['16:00', '22:00'], ['16:00', '22:00']]",21.833333333333332,16.0
